,id,text,newest_id,oldest_id,result_count,next_token,withheld
0,1391180845894017024,qq a rowan fez ein? https://t.co/nkSjpGTp4m,,,,,
1,1391180814176690178,@Exo50396249 tatsächlich wird in dem Fall a anstatt an verwendet,,,,,
2,1391180812180234245,"@pheicker So eskaliert halt Pandemie-Management à la Morsleben, den Karneval 2020 auszusitzen und seitdem mit Wir-werden-alle-sterben-Panik planlos den Pöbel zu disziplinieren, wenn die Mutti-Merkel-kümmert-sich-Wohlfühlblase sich das krampfhaft schönlügen will.

🧻 https://t.co/1JACmBASZo",,,,,
3,1391180767082987520,@dw_learngerman a) Jeder,,,,,
4,1391180738326843394,"Between us, oceans:
a portal to the unknown
promise of returns.

📸: 20/10/2018 Düsseldorf 🇩🇪
#HappyMothersDay #BestMumEver #iLoveYou #MyHaiku #Portal #EwaldMataré #StLambertusKirche #StLambertus https://t.co/28kAHjF6w1",,,,,
5,1391180727602065410,RT @maternus: Deshalb muß Deutschland sofort klimaneutral werden. Null CO₂ jetzt! Denn am deutschen Wesen soll die Welt jetzt erst recht ge…,,,,,
6,1391180684765634565,"RT @RawStory: Robert Reich labels #SNL host @elonmusk a 'modern-day robber baron' 
 https://t.co/5uSUW0K397",,,,,
7,1391180681850540032,RT @randomUkhti: A’Dua für die nächsten Tage und Nächte https://t.co/xoHEepou0a,,,,,
8,1391180648073805830,Abstürzende chinesische Rakete: Trümmer erreichen Atmosphäre am frühen Sonntagmorgen https://t.co/0wznC7GHTD,,,,,
9,1391180600732700674,"RT @VIEgoEU: Vizekanzler a. D. Erhard Busek und seine Botschaft an uns zum Europatag am 9. Mai 🇪🇺

https://t.co/Qjgm6VqrE9",,,,,
10,1391180595435347970,@QueenOrgi69 Machst du mal ein Q&amp;A?,,,,,
11,1391180586111361034,"RT @_BeFoot: ⏱ TERMINÉ ! 

DORTMUND 🟡  3-2  🐂 RB LEIPZIG 

Avec cette victoire, le Borussia met fin aux espoirs du RB Leipzig et permet au…",,,,,
12,1391180566918279171,Drinking a Diät Pils by @lowercasebeer @ Untappd at Home — https://t.co/ke8GGwVeAz,,,,,
13,1391180549650362373,"Sehr schöner und spannender kampf. Action von a bis z. 

#UFCVegas26 
 #daznfightclub",,,,,
14,1391180530876657664,"RT @RawStory: Robert Reich labels #SNL host @elonmusk a 'modern-day robber baron' 
 https://t.co/5uSUW0K397",,,,,
15,1391180496525266946,"RT @commiecita: wir: free palestine 

some of yall: a a a aber die hamas!! DIE HAMAS!!!! 🥺🥺🥺🥺 die Hamas! Das sind DIE bösewichte der gesamt…",,,,,
16,1391180430712492036,"RT @RawStory: Robert Reich labels #SNL host @elonmusk a 'modern-day robber baron' 
 https://t.co/5uSUW0K397",,,,,
17,1391180422206328832,RT @FJ_Murau: Was bei Palmer (ähnlich wie bei Wagenknecht u.a.) ja bemerkenswert ist: Letztlich ist das ein aufmerksamkeitsökonomisches Ich…,,,,,
18,1391180351599529985,"RT @_BeFoot: ⏱ Fin du Multiplex #Bundesliga 🇩🇪 :

• 𝗗𝗼𝗿𝘁𝗺𝘂𝗻𝗱  3-2  RB Leipzig
• 𝗛𝗼𝗳𝗳𝗲𝗻𝗵𝗲𝗶𝗺  4-2  Schalke 04
• Werder  0-0  Bayer
• 𝗪𝗼𝗹𝗳𝘀𝗯𝗼𝘂…",,,,,
19,1391180343718334467,"RT @_BeFoot: ⏱ TERMINÉ ! 

DORTMUND 🟡  3-2  🐂 RB LEIPZIG 

Avec cette victoire, le Borussia met fin aux espoirs du RB Leipzig et permet au…",,,,,
20,1391180332188250120,hab gerade auf meiner sd karte video mit u.a. userin gefunden was so 3/4 jahre alt ist oh scheiße ey,,,,,
21,1391180304736477184,a ex bbb kerline,,,,,
22,1391180261245788162,"🇩🇪(Bundesliga)🇩🇪 / Matchday 32
🔴*Dortmund 3-2 Leipzig*🔴
Hoffenheim 4-2 Schalke
Bremen 0-0 Leverkusen
Wolfsburg 3-0 https://t.co/3DXDNXLL4X
🔴*Bayern 6-0 M’gladbach*🔴
🇮🇹(Serie A)🇮🇹 / Matchday 35
🔴*Spezia 1-4 Napoli*🔴
Udinese 1-1 Bologna
🔴*Inter 5-1 Sampdoria*🔴",,,,,
23,1391180240588791814,"RT @guerra_krieg: Afrika Korps in Tunesien.  Das Fahrzeug auf der linken Seite ist eine erbeutete amerikanische M3-Halftrack, “Gepanzerter…",,,,,
24,1391180226487537669,RT @EverydaySens: TIM STÜTZLE! What a tip. 2-0 Sens. #GoSensGo https://t.co/iMBzOjhX3a,,,,,
25,1391180183835746304,"@Graf_Fencheltee Diese Bilder gehen um die Welt, und die Welt lacht über uns... Made in Germany 2021 🙈

Diese Vollhonks wissen gar nicht was sie anrichten, und wundern sich wenn wir -bald- wirtschaftlich down sind.

🧠lose a...löcher, die nicht bis drei zählen können, aber laut schreien.",,,,,
26,1391180130890911745,RT @realTuckFrumper: Robert Reich labels SNL host Elon Musk a 'modern-day robber baron' https://t.co/81fT11SYRu,,,,,
27,1391180091602898944,"RT @HAYPRESS_news: Als DAF-Vorstand nimmt Serap Gülers Schwager Kaya auch an den zahlreichen aserb. Lobby-Veranstaltungen teil, u.a. mit Ma…",,,,,
28,1391180089468071942,@lildaijoubu A u c h,,,,,
29,1391180072422420481,RT @FJ_Murau: Was bei Palmer (ähnlich wie bei Wagenknecht u.a.) ja bemerkenswert ist: Letztlich ist das ein aufmerksamkeitsökonomisches Ich…,,,,,
30,1391180050360328196,Robert Reich labels SNL host Elon Musk a 'modern-day robber baron' https://t.co/CeSWTJMbj6,,,,,
31,1391179985633824771,",,Sogar eine Debatte, ob man den CDU-Chef bis zur Bundestagswahl nicht doch noch durch Söder ersetzen sollte, wäre dann nicht mehr ausgeschlossen.""

Wohl einzige Chance für CDU.
Wer nicht hören will...

Laschets Kanzlerkandidatur: Die falsche Strategie https://t.co/cb3pTHbNRJ",,,,,
32,1391179958618398723,@loupnwar139 sale fdp les kurdes sont sunnites a 80-90%,,,,,
33,1391179834437550087,"RT @PhysInHistory: ""Quantum physics thus reveals a basic oneness of the universe.""

- Erwin Schrödinger (1887 - 1961) https://t.co/lctWyFjo…",,,,,
34,1391179827110158339,Robert Reich labels SNL host Elon Musk a 'modern-day robber baron' https://t.co/eWzWfEHlJB,,,,,
35,1391179822672588806,GEBTE GEBTE A YANFEU,,,,,
36,1391179805933060103,Klein is such a beast,,,,,
37,1391179773347569665,RT @realTuckFrumper: Robert Reich labels SNL host Elon Musk a 'modern-day robber baron' https://t.co/81fT11SYRu,,,,,
38,1391179752963198978,"RT @SharingRamadan: Die ehrenwehrte ʿĀʾischa überliefert von unserem Propheten (F.s.m.i.) ein Bittgebet, dass er ihr empfahl, in der Qadr-N…",,,,,
