,id,text,newest_id,oldest_id,result_count,next_token,withheld
0,1390624459321712640,"RT @Milena_Fee: Nach SPIEGEL-Informationen plant die Stiko, die Vakzine von Johnson &amp; Johnson nur noch für Menschen ab 60 zu empfehlen – wi…",,,,,
1,1390624449741864961,"RT @Kat_Schipkowski: „Gewalttätige Polizeiübergriffe wie am #1Mai in Frankfurt sind keine Ausnahme, sondern polizeiliche Alltagspraxis“. Da…",,,,,
2,1390624440682225674,"RT @ibn_Hanbal_ffm: 📚 'Abdullah, der Sohn von #Imam_Ahmad, sagte:

""Mein Vater pflegte das Fasten am Montag, Donnerstag und an den weißen T…",,,,,
3,1390624438455095299,"@DerDunkleGarten Für mich bedeutet Mann-Sein u.A., im inneren Kampf mit d dominanten Männlichkeit d Gesellschaft zu sein. Gegen Stereotypen anzukämpfen. Sich selbst entdecken. Sich &amp; andere mit Respekt behandeln. Sich nicht profilieren wollen. Sich nicht auf Privilegien ausruhen. Offen sein.",,,,,
4,1390624428178935810,RT @derspiegel: Nach wenigen Fällen seltener Hirnvenen-Thrombosen ist die Vakzine von #AstraZeneca in Verruf geraten. Nun hat sich SPD-Gesu…,,,,,
5,1390624407287181312,RT @ln_redaktion: #Kolumbien Demonstrierende aus #Cali erzählen @derspiegel warum sie trotz Repression und Polizeigewalt weiterhin auf die…,,,,,
6,1390624406209056774,"RT @LeipzigKings: From Japan to the USA and now Yoshihito Omi is a Leipzig King 👑 🙌 Welcome “Omi the Homie”

Von Japan in die USA und jetzt…",,,,,
7,1390624396163833857,Baerbock der  dann    a......dolf..isch  wird !!,,,,,
8,1390624395585019909,"@timbeil @LenaLiebkind Wäre super Wahlspruch für Laschet! Schönfärberei, der auch noch die Dinge ausblendet, die nicht so dolle laufen, z. B.: https://t.co/142Xl0FzeX",,,,,
9,1390624394221965315,"@Snaketongue3 @Lskmml_ @impf_progress https://t.co/ROBRAzKMkZ
Dadurch wird das Tempo sicherlich rasant an Fahrt aufnehmen :)",,,,,
10,1390624392464539655,a voz dele wgfgzdkaafzkyqc,,,,,
11,1390624376865820673,@bushid882o3 @sunbedflavour @A_Einzelgaenger Du bist der einzige Hund hier,,,,,
12,1390624340450766851,DSGVO vs. US-Geheimdienste: Microsoft will Kundendaten in der EU besser schützen https://t.co/NqT6IASjbp https://t.co/12Cgy7lTLW,,,,,
13,1390624321240961026,RT @frank_rieger: Das Gedächtnis für Regierungsversagen ist sehr kurz. Statt auf realistische Impfstoff-Kandidaten wurde wg. Industrieförde…,,,,,
14,1390624319110221825,OMGGG IT WAS A RING GJRBDKJT https://t.co/dJcsaiKTGE,,,,,
15,1390624318523117569,"RT @lobbycontrol: Ein wichtiges Ziel der Lobbyarbeit von #Aserbaidschan in Deutschland war, die Rolle des Landes als Erdgaslieferant zu stä…",,,,,
16,1390624316740493313,"@jntlvjntlv Solidarität bedeutet nicht sich als offenkundig außenstehender die kurd. Bewegung anzueignen und ""zu analysieren"".Ihre Position zu u.a. einem kurdischen Staat zählt,nicht möchtegern soli. Statt Stellungnahmen,Analysen der Bewegung zu teilen haust du d1 eurozentritische Suppe raus",,,,,
17,1390624309945802752,"RT @muellerschin: 🎧im @oe1-#Europajournal ist @MartinSelmayr zu Gast, u.a. zum Grünen Pass und dem Wiederaufbauplan der 🇪🇺. Beiträge von Ca…",,,,,
18,1390624304799223808,"@LeoniePur When I sign in your website. Can I request for a custom video for me?

Wenn ich mich auf Ihrer Website anmelde. Kann ich ein benutzerdefiniertes Video für mich anfordern?",,,,,
19,1390624301171281922,"RT @derspiegel: »Kein Impfstoff für Kinder, keine Luftfilter für Schulen: Corona hat mit pandemischer Gnadenlosigkeit offengelegt, wie weni…",,,,,
20,1390624301024489474,Türkei: Wo sind die 128 Milliarden Dollar? https://t.co/nrZU1lfoCq,,,,,
21,1390624298453381121,"RT @SPIEGEL_EIL: Nach SPIEGEL-Informationen plant die Ständige Impfkommission, die Vakzine von #JohnsonandJohnson nur noch für Menschen ab…",,,,,
22,1390624294590459904,"#Payday 3) Lumen Technologies!

Die letzten Q-Zahlen waren robust, die Dividende (ca. 7,5%) ist durch das laufende Geschäft gut abgedeckt. Ex Tag: 28.05.21

Ich empfehle v.a. @mpalkowitsch Artikel zu Lumen!
#Aktien #Dividende 

Weitere Gründe👇

https://t.co/TDy63ulQKs https://t.co/ZZwJyS19ZM",,,,,
23,1390624280891715586,such a numskull he is https://t.co/Z5pDJNiBrb,,,,,
24,1390624268216569857,Is Günther Steiner wearing a satin mask? 😂,,,,,
25,1390624265855242241,"@kakashiresearch Das Problem ist aber doch ein strukturelles gesellschaftlich verankertes. Da auf Eigenverantwortung zu gehen hilft a) nicht langfristig und lässt b) die Leute zurück, die nicht die Kraft haben neben eh schon anspruchsvollen MINT-Fächern noch gegen Diskriminierung zu kämpfen.",,,,,
26,1390624263200247808,RT @derspiegel: Mit dem neuen mRNA-Verfahren stehen die deutschen Firmen Biontech und Curevac an der Spitze der Impfstoffentwicklung. Nun i…,,,,,
27,1390624258750038017,@aery146 @sunbedflavour @A_Einzelgaenger Ein Hund,,,,,
28,1390624240626503684,"@dainhek @DoroBaer @coronawarnapp @AfDimBundestag Hallo @dainhek, Sie entscheiden selbst, ob und wenn welche Apps Sie nutzen wollen - vielleicht kann Ihnen sonst auch das Q&amp;A der #Bundesregierung zur @coronawarnapp weiterhelfen⬇️ https://t.co/wW3zrq387R 
Viele Grüße aus dem Bundestag🖐️",,,,,
29,1390624231692582916,"RT @MartinUMueller: Der Experte Reto Hilty, Direktor des ⁦@mpi_inno_comp⁩, warnt: Eine Aussetzung des Patentschutzes bei Covid-Impfstoffen…",,,,,
30,1390624228219801602,"RT @SPIEGEL_EIL: Nach SPIEGEL-Informationen plant die Ständige Impfkommission, die Vakzine von #JohnsonandJohnson nur noch für Menschen ab…",,,,,
31,1390624218308546563,"#Köln-er können sich am Wochenende in der #Zentralmoschee gg. #Corona #impfen lassen. Das Angebot richtet sich vorrangig an Bewohner a.d. umliegenden Stadtteilen und aus Hotspots, in denen die Inzidenz über 300 liegt, teilte der #Ditib-Bundesverband mit. https://t.co/CgGrhzVtqW",,,,,
32,1390624199232925696,"@okconsoomer @EgmontMANGA Nein, es wäre zu kompliziert, das je nach LN zu entscheiden, von wegen A zu Manga, B in die Belle. Wichtig ist, dass ein Produkt gut gefunden wird, heißt alle LNs sollten am selben Ort stehen. Bei uns stehen also alle bei den Manga und dort bei der dazugehörigen Mangareihe.",,,,,
33,1390624187488866305,@sunbedflavour @paypackforneme @A_Einzelgaenger Kann dir auch kollegah Sachen raussuchen wo er das gleiche von Bushido sagt,,,,,
34,1390624176164196353,"@der_eXXpress Es wird langsam Zeit, dass sich die Grünen à la ""Veggie Day"" mal wieder selber abschiessen.

Könnte es das schon sein? Mal sehen.",,,,,
35,1390624165292650501,"@be_a_queen @Die_Coole_Jule @BadMuddi @mndylane @PaulWinkelmann7 @AJN64358998 @EngelOchel @thundergirl1981 Uh. Der gefällt mir auch. Ist ja nie schlecht, einen in Reserve zu haben....oder woanders https://t.co/SMSF4GRvyb",,,,,
36,1390624157109473283,"RT @efonline: Wenn die grüne Sonne rot aufgeht, lässt sich endlich ein vernünftiger Staatsdirigismus durchziehen. Was Vernunft ist, werden…",,,,,
37,1390624154295181313,"oh gott ich will einfach nur dass alle clowns die fresse halten
es macht mich völlig kirre wieviele beschissene takes ich von allen seiten zu allen möglichen themen lese und höre (v.a. in der politik, aber definitiv nicht nur)",,,,,
38,1390624140407709703,"RT @derspiegel: Immer wieder reiste er nach Aserbaidschan, pflegt Kontakte zu fragwürdigen Politikern und Lobbyisten: Er sei nicht bestechl…",,,,,
39,1390624116496125959,der wie viele Neustart dieser schwimmenden Durchseuchungsgroßhotels ist das eigentlich? Hoffentlich können zumindest nur die vollständige geimpften rein aber was ist mit den Personal? Und lohnt sich das für die ca. 9% Geimpften? https://t.co/r5FhAI2Imo,,,,,
40,1390624104999440385,"RT @dcinsiderde: Das Bayerische Kompetenzzentrum #Quanten Security and Data Science #BayQC- Sicherheit, Robustheit und Optimierung von @Fra…",,,,,
41,1390624070186700803,RT @mysillycomics: Z O G A https://t.co/fimoxyRWw3,,,,,
42,1390624055301074948,"RT @Agrimonious: In India, Atheism is spelt as 
I-S-L-A-M-O-P-H-O-B-I-A",,,,,
