,id,text,newest_id,oldest_id,result_count,next_token,withheld
0,1391905582978850820,https://t.co/LMgXTrDKXi  selbst heruntergekommene schimmelige 40m² geringverdiener wohnungen in sozialen grenzvierteln kosten bald 12.50€ pro m².,,,,,
1,1391905567329894405,dfi tienes a bennett.,,,,,
2,1391905523335901184,@videocreator21 @3zzz_p A asphalt dat eno. Jah Jah,,,,,
3,1391905512002711552,@icli_koefte21 @binamschlafen @candles8k @wohnungohnelift @blubsdubs du bist heisse stiefmutter now drop a tiddie pls,,,,,
4,1391905504729915393,"RT @MuellerTadzio: Könnt Ihr Euch ne politische Position vorstellen, die sagt:

a. Wir Supporten Jede Bäckerin &amp; Jeden Bäcker!

b. ABER WER…",,,,,
5,1391905480381980676,"im a flopflopflopflopflop
i vote #CantTakeMyEyesOffYou for #BestCoverSong at the #iHeartAwards",,,,,
6,1391905456168357891,"@tomdabassman @Team_ReaIity @CorneliusRoemer Ich hätte ein paar Tipps für Conny, um besser u glaubwürdiger rüber zu kommen

A) Kameraeinstellung - sehr ungünstiger Winkel 
B) Kämmen hätte schon vorher sein  dürfen u die Kopfhörer sind ungünstig
C) Licht - sieht sehr blass aus 
D) Stottern u schlechte Vgl 👎

#Prinzpeinlich",,,,,
7,1391905435612028931,"Der Text hängt stellenweise (Tempobrüche). Und er hat etliche Unlängen. Die Originalität der Gedanken entschädigt für die lahmende Dynamik. Inwieweit der Autor, den Nietzsche erschossen hätte, a) die richtigen Kreuzungen anpeilt und b) zielführend abbiegt, dürfte zu klären sein.",,,,,
8,1391905430201421825,@inucidio A LAS WAWAS NUNK LAS TEINE K DESKUIDAR C LS CHUCHA FUEUDUIDCK7DIFVV,,,,,
9,1391905426728439808,London: Verirrter Wal in der Themse eingeschläfert https://t.co/wS3NmCyGBd,,,,,
10,1391905418364940288,RT @BayanRegion: A new Pokémon spotted in Bayan Region! Meet Tilafin the Fish Pokémon and Banguz the Marksman Pokémon! Splish Splash! 💦🐟💦…,,,,,
11,1391905405270466561,"See more #art #contemporaryart #Painting from #artist B a r b a r a Schneider  @ARTDbyBarbara 
https://t.co/AShx1qgYt1",,,,,
12,1391905355211448320,"Dazu gehört natürlich auch, sich eben *nicht* von den Baseballschlägern in anderer Leute Twitterprofil zu distanzieren, sondern die berechtigte Wut v.a. von trans Frauen/Femmes als berechtigt zu akzeptieren und mit ihnen auch dann solidarisch zu sein, wenn sie wütend sind.",,,,,
13,1391905298470772736,"RT @BayanRegion: A new Pokémon spotted in Bayan Region! Meet Amomaul the Mystery Pokémon!

Will you add Amomaul in your team? 🐵🌱❄

For more…",,,,,
14,1391905253453225984,"RT @BayanRegion: A new Pokémon spotted in Bayan Region! Meet Kambilli the Headbutt Pokémon and Cragoat the Hike Pokémon! 🐐🏔

For more info,…",,,,,
15,1391905248076255232,@nicksfall @incepition a imagem kkkkktchwu,,,,,
16,1391905242846011395,"RT @a_watch: Wie Andrea #Tandler an 30-50 Mio. € Provisionen aus Maskengeschäften kam: Tochter von CSU-Ministerpräsident FJ Strauß, Monika…",,,,,
17,1391905220905611266,"https://t.co/cd3B37NsTb: Stock changed from ""Artikel kann derzeit nicht gekauft werden"" to ""Auf Lager, ausschließlich Versand"" at 01:57:19.483+02:00 https://t.co/5SW84QPqRw [A] #rtx3000tracking_region_de #RTXon #NVIDIAGeForce",,,,,
18,1391905207324381189,"RT @Heiner4A: Eine illustre Runde, die da mit er dienen will
Interessant ist auch, dass der deutsche Staat zweitgrößter Aktien-Holder ist
W…",,,,,
19,1391905124214267915,"@a_watch @CSU @CDU Gehören Alle aus der #Politik entfernt ! @Markus_Soeder 
Herr #Spahn gleich ebenfalls! @ArminLaschet 

So bekommt man keine #Wähler 
#NoCDUCSU",,,,,
