,id,text,newest_id,oldest_id,result_count,next_token
0,1389480934160969732,@Sador_Numspaq @cityradler @jumpzebra89 @axelfell @tbachner @a_eigel @adfc_nrw @Radkomm @AufbruchFahrrad @utesymanski @stadtdortmund Ja deswegen direkt nach DO auf den Springorum durch Bochum durch um bei Dahlhausen auf den Ruhrradweg zu mir nach Überruhr/Steele und dann auf der Trasse nach Rüttenscheid.,,,,
1,1389480903131418626,"RKI meldet 7534 Neuinfektionen und 315 Tote – Inzidenz sinkt auf 141,4 https://t.co/AKQ8KbTHMk",,,,
2,1389480899373375492,"RT @Marius_Raabe: @C_A_Mayer Warte seit Donnerstag auf Bumper Sticker:

""Wir haben unsere Grundrechte von unseren Kindern nur geliehen.""™️…",,,,
3,1389480853764460544,"@AlexanderHeppe Hallo, you can read it here: Hier noch mal eine Zusammenstellung zum #CO2Preis und gerechter… https://t.co/ApzbzWGJ8i Have a good day. 🤖",,,,
4,1389480847833763848,"RT @dimetra_ecrit: „Merkels Zitteranfälle sind Folge des Klimawandels.“ (A. #Baerbock) 

Also, wenn das keine Bildung ist... 

#ARD",,,,
5,1389480806494654465,@1_airdefender @e_a_1 Was passiert eigentlich mit all diesem „Spenden“? Und wohin fließt dies? Vor allem ab wen genau?,,,,
6,1389480805865512960,Ohne Barrieren On-Premises-Anwendungen in die Cloud migrieren. Was sind die Herausforderungen für Marktwachstum in einem agilen Geschäftsbereich? Und wie genau können Lösungen wie @vmwarecloud on AWS aus der Blockade heraushelfen? @Arrow_ECS_DE antwortet: https://t.co/KgF42G1SdY https://t.co/DTMrgTCSxI,,,,
7,1389480787788148737,"@Zartbitter_eV  Buch 6 (2. Aufl.) von #ÜberDieAnfänge (kostet wenig!) schreibt über Psychoanalyse der Pädophilie/Päderastie, Reaktivierung präpupertärer Protosexualität bei Erwachsenen v.a. Männern usw- zugleich Kritik an der freudschen Psychoanalyse.Danke. #infotweet",,,,
8,1389480767747760129,RT @derspiegel: Auf den Intensivstationen liegen immer mehr Jüngere mit Covid-19 – darunter auch werdende Mütter. In anderen Ländern wird d…,,,,
9,1389480762039160834,@Nahuel11037 U looks like a Pokémon ball(⁎⁍̴̛ᴗ⁍̴̛⁎),,,,
10,1389480741680132096,@walli5 @Yannick_Haan @wolfibey Wer A sagt... 😉,,,,
11,1389480737787760642,"RT @anncathrin87: Der #Staatstrojaner ""soll der Vorlage zufolge zur Aufklärung schwerer Bedrohungen für den demokratischen Rechtsstaat beit…",,,,
12,1389480731076870147,RT @derspiegel: Das »Eleven Madison Park« in New York zählt zu den besten Restaurants weltweit. Dessen Schweizer Küchenchef Daniel Humm wil…,,,,
13,1389480723048972289,@a_kiemes in der corona app musst du eine tan deines Ergebnisses eingeben,,,,
14,1389480702857695233,RT @a_watch: Randnotiz: Als Sachverständiger ist u.a. der frühere SPD-Abgeordnete Dieter Wiefelspütz geladen. Während seiner Zeit im Bundes…,,,,
15,1389480697690218497,"Ich kriech aaf alle Viere, höfts ma, bittschön! Des wird mehr a Kriechrunde heit! 😂🙏🤭 https://t.co/eq4oFuQHGL",,,,
16,1389480675401678849,"RT @StadtLandPlus: 📢 Unser Mai-#Newsletter ist da 👀
News &amp; aktuelle Termine zu #StadtLand

💡 News aus den #StadtLandPlus-Vorhaben u.a.
📚 Ne…",,,,
17,1389480665834471427,@A_Girl_Insane So jung und schon an der Flasche 😞😍😍😍,,,,
18,1389480659446546433,@fifapraesident1 @oliverpocher Ach Gott der arme Christoph gell...wieviele Kinderseelen liegen am Boden ? Und diese A...löcher interessiert es nicht 😡,,,,
19,1389480654895788034,"Sei dabei, rette Dein Grundeinkommen - Rente !
Mit nur 20 € Einmal-Zahlung ein monatliches
Grundeinkommen aufbauen !
Kein --  S P O N S E R N  --  von weiteren Partnern !
Für  A L L E  geeignet !
https://t.co/LteOHI6z32 
Manfred Brackmann Dipl.-Ing. Architekt Rentner.",,,,
20,1389480635383832577,#allesdichtmachen-Initiator: Volker Bruch hat Mitgliedsantrag bei Querdenker-Partei gestellt https://t.co/vXFpCg0XPM,,,,
21,1389480622134120452,"@Orang3nSaftLP Ja die Autofahrer werden ja schon gesehen haben wie seit Anfang der Jahres das Benzin viel teurer ist und das bei der ersten Stufe. Elektroautos können sich a) nicht jeder leisten b) nicht für jeden geeignet (Beladung, Reichweite etc.) und die Herstellung/Entsorgung der Battarie",,,,
22,1389480621454594049,RT @BennyHeinrich: Die Trainersuche bei der #Eintracht ist in vollem Gange! Die #SGE will sich dabei ihrer Philosophie treu bleiben. Gesuch…,,,,
23,1389480618069745664,RT @LeibnizWGL: Wie stellt man Moleküle aus? Wie sammelt man das Anthropozän? Und was ist eigentlich ein #Forschungsmuseum? Beim #bookascie…,,,,
24,1389480614479474688,Super und zur Nachahmung empfohlen. #vegetarian  New Yorker Luxusrestaurant »Eleven Madison Park«: Starkoch Daniel Humm verzichtet künftig auf Fleisch https://t.co/5wUAwOGUnd via @derspiegel,,,,
25,1389480601191911424,"RT @tvmagazinone: Demet Özdemir put a big bomb on social Media💥
#DemetÖzdemir
 https://t.co/7RiOAq7Msv",,,,
26,1389480572259643392,Verdächtiger festgenommen: Serie von »NSU 2.0«-Drohmails vor der Aufklärung https://t.co/31jextGaQY via @derspiegel,,,,
27,1389480556786814978,RT @boelwtermine: (1/2) Schneller (#Bio) schlau. Wie #Corona der #Transformation in #Landwirtschaft und #Ernährung einen weiteren #push in…,,,,
28,1389480551124553732,RT @DieterSteffmann: Rechte Drohbriefe an Politiker und Prominente: Mutmaßlicher Verfasser von „NSU 2.0“-Schreiben festgenommen https://t.c…,,,,
29,1389480544770084864,"@spenglerandreas @PaulGaebler gibt bestimmt gute Gründe hierfür.
Ändert aber nichts daran dass zu wenig da ist, sodass man zurückhalten muss für 2. Impfungen bzw dass man a.G. von Mangel nicht allen ein Angebot machen kann bzw sehr lange dauert. Mehr impfstoffe für Ärzt würde die Lage dramatisch entspannen",,,,
30,1389480541670580224,"Korrektur: der ELO Vortrag wurde auf 14:10 verschoben!  Um 14:50 folgt dann ein Live Q&amp;A mit den Ausstellern. Hier sind wir natürlich auch mit dabei!  

#ELODigital",,,,
31,1389480482774167553,"Thomas Carle: https://t.co/Xo5zDd7cMM ""Leitfaden - So nimmst Du eine Telenot Anlage in Betrieb."" -  ""Ich danke Dir."" | Er ist super. Endlich funktioniert unsere Alarmanlage | A. Schuster | https://t.co/ykcCImiU1j https://t.co/Fw0VvaAQFs",,,,
32,1389480474553241601,@cityradler @jumpzebra89 @axelfell @tbachner @a_eigel @adfc_nrw @Radkomm @AufbruchFahrrad @utesymanski @stadtdortmund @Sador_Numspaq Naja meine Route ist halt imho die schönste Variante um entlang der Ruhr und dann auf den Trasse um in die Innenstadt zu gelangen.,,,,
33,1389480472384790531,@a_watch In welchem Format tragen Sie es vor? In einem Ausschuss? In einer Fraktionsrunde? Wird das gestreamt irgendwo abrufbar?,,,,
34,1389480452910616579,"@eat_a_brick_h0e man, Sabine du blöde pick me, schämst du dich nicht 😤",,,,
35,1389480450897465345,"RT @joestel_uwe: GRÜNE Politik hat nichts mit Umwelt- und Naturschutz zu tun. 
Mit Ausstieg aus der Kernenergie wird eine CO2-Reduktion von…",,,,
36,1389480449882214401,"RT @DailyUSANews: Crooked Letter, Crooked Letter: A Journey through the Cultural Landscape of Mississippi: Der Vortrag bleibt bis zum Nacht…",,,,
37,1389480447306985481,"RT @DailyUSANews: Crooked Letter, Crooked Letter: A Journey through the Cultural Landscape of Mississippi: Der Vortrag bleibt bis zum Nacht…",,,,
38,1389480447038660609,"für alle Krankenkassen auf ihren Nutzen überprüft festgelegt werden, stehen Satzungsleistungen in der Regel im freien Ermessen der Krankenkassen und können im Wettbewerb der Krankenkassen eingesetzt werden. [https://t.co/25uRdKDqrK] (4/11)",,,,
39,1389480446187032579,"RT @DailyUSANews: Crooked Letter, Crooked Letter: A Journey through the Cultural Landscape of Mississippi: Der Vortrag bleibt bis zum Nacht…",,,,
40,1389480445507690499,"RT @BSGGoettingen: Einst war die Blauracke auch in Deutschland ein regelmäßiger Brutvogel, nun muss sie als ausgestorben gelten. Ursächlich…",,,,
41,1389480444807221250,"RT @dimetra_ecrit: „Merkels Zitteranfälle sind Folge des Klimawandels.“ (A. #Baerbock) 

Also, wenn das keine Bildung ist... 

#ARD",,,,
42,1389480441850343427,"RT @FWarweg: Ratespiel zum #TagderPressefreiheit: Was machen 🇩🇪Hauptstadtjournalisten #Berlin anlässlich #WorldPressFreedomDay? 
a) Soliakt…",,,,
43,1389480432039862274,RT @SPIEGEL_24: CDU/CSU und SPD einig: Nachrichtendienste sollen Staatstrojaner bekommen https://t.co/Q0PEIuNm90 https://t.co/wkWygrX8KP,,,,
44,1389480426918617089,"@cityradler @Bytchinskaya @jumpzebra89 @axelfell @tbachner @a_eigel @adfc_nrw @Radkomm @AufbruchFahrrad @utesymanski @stadtdortmund Wenn du in Richtung Baldeneysee fährst und am Ruhrradweg her, dann kommst du über die Brücke…",,,,
45,1389480406781661185,"RT @Ichika_support: 210504 Uehara Ichika Vlog
Ichika appeared in Zhang Teng's vlog in Weibo

Ichika gave a kiss to Zhang Teng! 😆🧡💘

#Ichika…",,,,
46,1389480399206862851,"RT @VQuaschning: Lieber @Markus_Soeder, ich weiß nicht, ob Ihnen das schon mal jemand gesagt hat: Ohne #Windkraft in #Bayern können wir in…",,,,
47,1389480385021632515,"@ryrksnglynks @kaneelkoffje Davor hab ich ehrlich gesagt jeden Tag unterschwellig am meisten Schiss. Dass irgendeine Mutation entsteht, gegen die nichts mehr hilft. Dann sind wir alle a.A.. Einige setzen durch ihr Verhalten gerade alles aufs Spiel, was wir mühsam bisher erreicht haben. 😒",,,,
48,1389480381326503938,RT @ptdw21: Die Universitätsgesellschaft Potsdam e.V. ist auch mit an Bord. Für den Verein ist Prof. Dr. Henrike Müller-Werkmeister bei „As…,,,,
49,1389480362494070786,RT @sereuter: Gibt es bald Geimpften-Partys? Wie ist die Lage vor der Regionalwahl in Madrid? Und wer schafft es ins Finale der champions L…,,,,
50,1389480330718027776,RT @EGIRLR0SE: rosé with bangs was such a look https://t.co/33y23JAGc2,,,,
51,1389480330013384707,"RT @AppenKristin: Wer sich fragt, warum der Deutsche vom eigenen Staat + der ganzen Welt zur Kasse gebeten, abgezockt + obendrein verlacht…",,,,
52,1389480321117208579,"""Children growing up in a home that burns these PM2.5-producing fuels are more likely to have reduced lung function and can develop asthma.""
Es werden nur Verbote helfen: den Kindern, den Eltern, den Nachbarn, der Umwelt und dem Klima.
Holz verbrennen ist asozial.
#OfenAus https://t.co/OgJg7NhCAs",,,,
53,1389480319900913671,@Regenbogenfros2 i han a Scheiblette die du nicht abschlagen kannst ojeoje,,,,
54,1389480291455148032,RT @a_watch: Randnotiz: Als Sachverständiger ist u.a. der frühere SPD-Abgeordnete Dieter Wiefelspütz geladen. Während seiner Zeit im Bundes…,,,,
55,1389480288913350656,Coronavirus: Mediziner kritisieren Lockerungspläne für Geimpfte https://t.co/8mqa5oD28P,,,,
56,1389480287596339203,RT @AlexanderDinger: Gerade kommen Leute aus ihren Häusern und begutachten die Schäden. Betroffen u.a ein kleiner Eckgrill. Eine Familie ko…,,,,
57,1389480282215043073,"145 mph
Mercedes C Coupe on a german autobahn 😀 https://t.co/efBdxpEuyp",,,,
58,1389480279870517248,@DegeBh @Nessi_2033 @a_nnaschneider Verharmlost du gerade eine weltweite Pandemie?,,,,
59,1389480255501570049,"RT @Einzelfallinfos: #Flensburg: Dunkelhäutiger Räuber überfällt mitten am Tag einen Senioren im #Tennisclub, bedroht ihn mit einer abgebro…",,,,
60,1389480252221575171,"Neues Update für das #OppoFindX3Pro  
hier gibts alle wichtigen Infos was es mitbringt.

https://t.co/1x2K6xxyCr",,,,
61,1389480238082662404,"RT @SterniWatch: Um zu verhindern, dass Menschen sich auf öffentlichen Plätzen treffen, wird es in #Tübingen ab morgen an mehreren Orten ei…",,,,
62,1389480237038280705,"Amazon (de): Stock changed from ""Erhältlich bei diesen Anbietern."" to ""Gewöhnlich versandfertig in 4 bis 5 Tagen."" at 09:21:18.254+02:00 https://t.co/mvziwxe5Mv [A] #amd5000tracking_region_de #Ryzen5000 #AMD",,,,
